LastName	FirstName	ID	Residence	DateofBirth
Haroun	Marianne	20133291	Tripoli	24/12/1948
Al Hallak	Rouba	20155735	Tripoli	6/1/1963
Youssef	Tonia	20131133	Blat	16/9/1970
Frem	Christopher	20188270	Selaata	12/1/1996
Al Soueity	Alexandro	20118185	Chekka	2/12/1959
El Teress	Ramza	20119245	Blat	25/3/1955
Samarani	Mohamad	20124924	Tripoli	27/3/1982
Issa	Christopher	20181374	Blat	5/4/1981
Samarani	Joseph	20187725	Tripoli	17/10/1979
Daher	Farah	20165820	Sahel Alma	3/9/1996
Ghamrawi	Ryan	20142789	Anfeh	27/8/1947
Slaiby	John	20113989	Adma	25/5/1951
Chayban	Rouba	20159527	Sahel Alma	1/5/1983
Abi Younes	Mohamad	20175663	Naccache	12/12/1989
Al Soueity	Tonia	20185669	Batroun	8/3/1974
Elam	Sarah	20116980	Zouk Mosbeh	6/10/1951
Assaf	Layla	20155960	Chekka	15/1/1994
Assaf	Joseph	20161664	Amchit	23/9/1952
El Haddad	Serena	20171214	Byblos	30/11/1961
Rizk	Joseph	20142607	Dbayeh	16/11/1988
Youssef	Francesca	20115416	Zouk Mikael	16/7/1995
Zeina	Ryan	20183140	Chekka	21/10/1974
Al Rassi	Romy	20121357	Adma	2/7/1959
Charbel	Alexandro	20157398	Byblos	16/6/1963
El-Alam	Alexandro	20115604	Jounieh	11/11/1967
Kmeid	Alexandro	20163833	Zouk Mosbeh	25/11/1975
Matta	Romy	20135811	Anfeh	19/12/1998
Samarani	Yara	20167579	Adma	14/12/1952
Al Hallak	Lea	20187273	Batroun	6/4/1972
Abou Younes	Serena	20110786	Zouk Mikael	17/9/1968
Faour	Yasmine	20170659	Awkar	29/11/1996
Youssef	Serena	20152157	Adma	26/5/1945
Alkhuder	Joe	20118007	Sahel Alma	15/7/1953
Alkhuder	Marilyne	20159297	Adma	27/12/1954
Abou Younes	Ramza	20115018	Nahr Ibrahim	24/8/1968
Alkadri	Dennis	20187446	Awkar	5/8/1980
El Haddad	Youmna	20145232	Amchit	9/10/2000
Faour	Serena	20171461	Zouk Mikael	4/1/1985
Faour	Dennis	20175300	Nahr Ibrahim	9/10/1947
Abi Akl	John	20135242	Dbayeh	31/10/1977
Slaiby	Mohamad	20152436	Amchit	25/4/1998
Ishak	Youmna	20118437	Naccache	14/3/1984
Alkhuder	Lamia	20162751	Jounieh	6/4/1946
Assaf	Ghady	20153782	Awkar	14/9/1946
Faour	Ryan	20137034	Zouk Mosbeh	7/6/1999
Youssef	Youmna	20118317	Awkar	22/10/1951
Al Hallak	Romy	20160051	Sahel Alma	31/2/1961
Kmeid	Louis	20111488	Dorms	2/4/1987
Bou-Khalil	Rouba	20156786	Selaata	13/1/1992
El-Alam	Gaelle	20175244	Batroun	8/5/1992
Ishak	Alexandro	20163216	Anfeh	31/12/1999
Alkadri	Yara	20178693	Dbayeh	8/6/1993
Ghamrawi	Ryan	20154330	Dbayeh	14/2/1988
Abi Chahine	Marianne	20164906	Naccache	15/5/1974
Abou Younes	Christopher	20113899	Blat	6/1/1956
Samarani	Yasmina	20137582	Jounieh	22/12/1990
Ishak	Ahed	20140316	Selaata	20/3/1955
Chayban	Gaelle	20129384	Tripoli	19/5/1979
El Teress	Ahed	20121147	Dorms	30/8/1998
Abi Akl	Gaelle	20180257	Anfeh	8/12/1977
Rizk	Lea	20117748	Naccache	1/9/1945
Slaiby	Tonia	20129085	Jounieh	22/6/1986
Haroun	Christopher	20112787	Nahr Ibrahim	5/11/1981
Abi Akl	Leah	20135263	Byblos	3/6/1945
Ishak	Marianne	20171992	Nahr Ibrahim	17/9/1952
Daher	Ahed	20168063	Blat	11/10/1980
Ishak	Ryan	20172622	Selaata	8/6/1959
El Teress	Serena	20167989	Zouk Mikael	16/9/1966
Abi Akl	Mohamad	20128501	Nahr Ibrahim	27/1/1990
Zarifeh	Tonia	20115437	Selaata	30/6/1963
Medawar	Jean	20126606	Zouk Mikael	11/10/1983
Assaf	Yasmina	20179094	Sahel Alma	28/1/1966
Chayban	Layla	20111529	Batroun	31/6/1958
Al Rassi	Gaelle	20116734	Batroun	17/4/1990
Issa	Yasmina	20180270	Blat	25/11/1991
Elam	Joe	20166197	Byblos	3/6/1967
Al Rassi	Yasmine	20110908	Chekka	14/10/1977
Faour	Rouba	20145954	Zouk Mikael	24/3/1986
Yaacoub	Ryan	20171641	Adma	30/1/1981
Abou Younes	Mohamad	20179506	Jounieh	13/9/1950
Rizk	Ahed	20137442	Dorms	13/12/1969
Hachem	Yara	20170296	Chekka	11/3/1965
El-Alam	Tonia	20116454	Anfeh	26/6/1970
Faour	Rimane	20184505	Zouk Mikael	14/2/1955
Zarifeh	Rimane	20177961	Tripoli	1/8/1970
Hachem	John	20162744	Anfeh	14/4/1950
Faour	Frederick	20116754	Zouk Mikael	13/8/1994
Frem	Ryan	20186856	Batroun	22/7/1986
Al Rassi	Lamia	20168612	Zouk Mosbeh	27/6/1953
Al Soueity	Lamia	20173887	Selaata	24/6/1999
Frem	Layla	20139809	Awkar	22/10/1976
Frem	Alexandro	20116960	Sahel Alma	25/6/1978
Zeina	Romy	20163032	Tripoli	19/10/2000
Sfeir	Jad	20162396	Batroun	22/11/1981
Zarifeh	Layla	20180033	Dbayeh	30/8/1965
Bou-Khalil	Leah	20164664	Amchit	2/4/1971
Anastasiou Bountoktzi	Christopher	20113157	Selaata	21/9/1952
Abi Younes	Francesca	20157660	Chekka	13/8/1965
Slaiby	Frederick	20133894	Zouk Mikael	6/1/1984
Slaiby	Maria	20161220	Nahr Ibrahim	24/9/1992
Sfeir	Farah	20168509	Dorms	28/9/1954
Zarifeh	Layla	20133870	Naccache	22/8/1976
Medawar	John	20184787	Nahr Ibrahim	4/4/1979
Bou-Khalil	Peter	20114529	Blat	17/6/1945
Frem	Youmna	20112210	Adma	21/5/1962
Rizk	Leah	20184680	Jounieh	11/7/1953
Samarani	Nour	20137302	Dbayeh	29/11/1949
Al Soueity	Lamia	20141442	Zouk Mikael	9/11/1979
Abi Akl	Farah	20138950	Anfeh	25/11/1999
Ishak	Yara	20126937	Tripoli	6/10/1978
Bou-Khalil	Nour	20164701	Zouk Mosbeh	16/10/1990
Doumiati	Romy	20141741	Awkar	10/9/1951
Anastasiou Bountoktzi	Maria	20130162	Byblos	13/1/1969
Frem	Elisa	20157597	Sahel Alma	20/5/1988
Doumiati	Dennis	20186112	Dbayeh	26/8/1967
Matta	Dennis	20185615	Sahel Alma	5/12/1971
Samarani	Yasmina	20122983	Blat	10/12/1994
Alkhuder	Serena	20157763	Chekka	25/10/1999
Frem	Romy	20112310	Zouk Mosbeh	12/2/1948
Assaf	Jad	20167576	Adma	7/8/1967
Samarani	Serena	20115824	Tripoli	13/12/1956
Frem	Peter	20180565	Sahel Alma	31/1/1980
Abi Younes	Ahed	20157258	Naccache	5/7/1962
El-Alam	Rouba	20110157	Zouk Mikael	23/1/1986
Abi Younes	Ghady	20141378	Naccache	30/2/1962
Rizk	Ramza	20158267	Blat	9/7/1947
Youssef	Louis	20140001	Dbayeh	12/1/1980
Al Rassi	Marilyne	20163049	Dbayeh	12/3/1985
Zeina	Marianne	20125941	Nahr Ibrahim	29/12/1968
Anastasiou Bountoktzi	Alexandro	20165629	Chekka	25/12/1997
Faour	Farah	20152239	Byblos	17/8/1995
Hachem	John	20178932	Naccache	8/12/1975
Abi Chahine	Elisa	20158691	Amchit	18/8/1980
Ghamrawi	Ramza	20177240	Tripoli	16/6/1991
Elam	Tonia	20118668	Nahr Ibrahim	26/2/1966
El-Alam	Marianne	20144249	Blat	13/8/1947
Assaf	Alexandro	20177775	Anfeh	28/3/1956
El-Alam	Jad	20176846	Sahel Alma	9/8/1983
Daher	Yara	20126592	Zouk Mosbeh	31/7/1961
Chayban	Mohamad	20166791	Anfeh	4/1/1971
Sfeir	John	20168491	Tripoli	7/10/1952
Sfeir	Tony	20158176	Chekka	21/1/1972
Samarani	Francesca	20148841	Chekka	14/1/1993
Al Soueity	Tony	20145028	Batroun	30/9/1968
Matta	Ghady	20130125	Dorms	14/1/1999
Matta	Gaelle	20164886	Zouk Mosbeh	13/6/1968
Ishak	Christopher	20126841	Dbayeh	9/6/1978
Sfeir	Yasmina	20189373	Awkar	20/10/1978
Hachem	Rimane	20124859	Adma	2/6/1974
Abi Younes	Joseph	20147544	Nahr Ibrahim	21/11/1963
Abou Younes	Louis	20131783	Zouk Mikael	12/9/1989
Zarifeh	Yara	20112157	Dorms	11/4/1960
El Haddad	Frederick	20154437	Dbayeh	15/11/1994
Assaf	Serena	20162613	Naccache	24/4/1980
Abou Younes	Joe	20157625	Naccache	19/3/1951
Slaiby	Tony	20111068	Awkar	3/12/1964
Medawar	Ryan	20180628	Chekka	23/9/1975
Abi Chahine	Lamia	20178653	Chekka	11/7/1948
Haroun	Rimane	20123892	Adma	4/1/1969
Daher	Serena	20113515	Byblos	22/11/1977
Matta	Elisa	20154240	Naccache	24/1/1982
Samarani	Ahed	20125631	Dorms	20/6/1956
Abou Younes	Rimane	20183659	Selaata	25/3/1993
Frem	Mohamad	20133131	Nahr Ibrahim	26/10/1981
Medawar	Ryan	20153388	Sahel Alma	5/7/1998
Abi Younes	Romy	20128186	Naccache	18/7/1963
Ghamrawi	Joseph	20154533	Blat	22/12/1988
Youssef	Tonia	20137374	Dorms	15/11/1966
Abi Chahine	Youmna	20184403	Tripoli	22/8/1976
El Mouzawak	Mohamad	20164752	Amchit	2/4/1990
Haroun	Ghady	20127907	Nahr Ibrahim	3/3/1969
Ishak	Ghady	20154200	Tripoli	8/10/1985
Slaiby	Maria	20115662	Jounieh	10/12/1953
Alkhuder	John	20164696	Chekka	28/8/1957
Ishak	Serena	20182399	Zouk Mikael	17/10/1969
Chayban	Peter	20128847	Tripoli	17/12/1963
Ishak	Louis	20113949	Zouk Mosbeh	28/2/1970
Slaiby	Farah	20140627	Blat	31/8/1995
Frem	Tonia	20183060	Anfeh	18/10/1975
Kmeid	Yasmina	20161291	Tripoli	19/7/1964
Al Soueity	Marilyne	20112058	Tripoli	3/2/1985
Kmeid	Yasmina	20140127	Anfeh	2/9/1986
El Haddad	Marilyne	20162096	Dbayeh	16/5/1951
Frem	Rimane	20155895	Zouk Mikael	28/6/1995
Yaacoub	Youmna	20185550	Adma	21/6/1994
El-Alam	Lea	20158552	Naccache	7/11/1951
Al Rassi	Frederick	20153553	Amchit	30/4/1965
Charbel	Jean	20136215	Dorms	25/10/1980
Kmeid	Peter	20159491	Awkar	8/4/1991
Kmeid	Jad	20144801	Blat	6/5/1958
Abi Chahine	Louis	20156277	Jounieh	19/9/1970
El Mouzawak	Nour	20124992	Naccache	17/1/1999
Zeina	Tonia	20172278	Blat	25/7/1985
Matta	Peter	20185264	Adma	18/1/1962
Daher	Joe	20151373	Zouk Mikael	3/4/1983
Al Soueity	Jad	20168123	Anfeh	7/3/1961
Faour	Marianne	20135235	Sahel Alma	20/11/1947
Doumiati	Ghady	20111587	Amchit	18/9/1976
Youssef	Francesca	20143689	Jounieh	20/7/1962
Medawar	Joseph	20138200	Selaata	3/12/1968
Medawar	Lamia	20173534	Selaata	15/1/1981
Alkhuder	Leah	20151215	Zouk Mikael	16/4/1970
Frem	Alexandro	20171647	Byblos	26/4/1951
El Haddad	Joseph	20169580	Jounieh	25/5/1945
Youssef	Ramza	20178254	Chekka	12/3/1968
Assaf	Jean	20117559	Selaata	2/6/1973
Zarifeh	Frederick	20146415	Nahr Ibrahim	9/12/1968
Elam	Christopher	20131584	Dorms	9/9/1998
Al Rassi	Mohamad	20141595	Tripoli	4/3/1968
Alkhuder	Ahed	20117070	Selaata	14/11/1997
Bou-Khalil	Yara	20181735	Awkar	9/6/1953
Al Rassi	Elisa	20120979	Zouk Mosbeh	27/6/1953
Daher	Rouba	20165829	Byblos	30/2/1949
Alkhuder	Farah	20113518	Adma	14/3/1982
Samarani	Yara	20148462	Adma	6/2/1989
Hachem	Lea	20175575	Naccache	29/5/1982
Alkhuder	Louis	20153243	Zouk Mikael	20/12/1954
Abi Chahine	Yasmine	20110810	Naccache	20/11/1958
Sfeir	Louis	20137014	Selaata	9/11/1956
Sfeir	Ramza	20187439	Amchit	29/7/1986
El Mouzawak	Youmna	20147617	Amchit	10/1/1996
Anastasiou Bountoktzi	Farah	20181874	Zouk Mikael	18/1/1962
Faour	Romy	20170192	Anfeh	19/3/1956
Chayban	Youmna	20153346	Naccache	21/4/1999
Chayban	Joseph	20182870	Adma	22/8/1945
Abou Younes	Gaelle	20187335	Anfeh	10/11/1985
Abi Younes	Mohamad	20187384	Adma	18/5/1985
Daher	Lamia	20165730	Anfeh	3/1/1963
Abi Akl	Louis	20189131	Naccache	14/3/1966
Frem	Rouba	20141032	Zouk Mosbeh	25/6/1981
Sfeir	Frederick	20110783	Dorms	3/3/1977
Al Soueity	Yara	20169613	Zouk Mosbeh	1/9/1950
El Mouzawak	Tony	20115201	Awkar	30/12/1971
Rizk	Maria	20176353	Batroun	7/12/1999
Hachem	Serena	20134063	Blat	18/3/1945
Kmeid	Marianne	20123925	Batroun	23/1/1996
Al Soueity	Marianne	20141049	Blat	15/3/1984
Zeina	Jad	20118700	Amchit	2/5/1993
El-Alam	Joseph	20182788	Sahel Alma	26/11/1960
Issa	Frederick	20184626	Adma	18/5/1985
Ishak	Ramza	20181011	Jounieh	5/4/1957
Frem	Sarah	20163106	Dbayeh	30/3/2000
Samarani	Jean	20161218	Blat	8/6/1967
Bou-Khalil	Sarah	20168529	Tripoli	21/8/1970
Abi Chahine	Leah	20115967	Zouk Mikael	6/1/1969
Daher	Frederick	20157351	Awkar	21/1/1980
Alkadri	Lea	20123629	Byblos	17/8/1957
Zarifeh	Farah	20116435	Dorms	24/1/1975
Al Rassi	Leah	20138821	Tripoli	27/4/1993
Hachem	Yasmine	20173723	Awkar	16/2/1978
Alkhuder	Joe	20155365	Naccache	15/3/1969
Charbel	Francesca	20179104	Naccache	26/6/1993
Samarani	Layla	20133867	Chekka	8/4/1970
El-Alam	Jean	20118081	Dbayeh	29/6/1993
Haroun	Jean	20110264	Chekka	20/5/1996
Abou Younes	Nour	20131323	Sahel Alma	1/2/1957
Doumiati	Serena	20132390	Tripoli	28/2/1969
Kmeid	Peter	20161085	Adma	13/10/1962
Youssef	Leah	20113923	Naccache	31/2/1969
Hachem	Maria	20164864	Blat	8/6/1987
Matta	Ryan	20149528	Nahr Ibrahim	26/3/1986
Sfeir	Lamia	20138762	Dbayeh	15/3/1977
Yaacoub	Louis	20116802	Chekka	22/1/1962
El-Alam	Leah	20124040	Anfeh	19/11/1994
Abi Younes	Tonia	20178978	Byblos	28/2/1984
Issa	John	20149915	Blat	9/2/1997
Abi Chahine	Lamia	20145213	Blat	6/3/1992
Sfeir	Dennis	20132710	Nahr Ibrahim	20/10/1990
Alkhuder	Nour	20167750	Nahr Ibrahim	24/3/1976
Abi Younes	Layla	20175273	Byblos	6/9/1959
Alkhuder	Peter	20126524	Adma	19/11/1987
Elam	Ahed	20122189	Amchit	29/10/1982
El-Alam	Rouba	20176244	Adma	19/3/1949
Abou Younes	Sarah	20182416	Tripoli	3/7/1973
Doumiati	Alexandro	20185827	Amchit	1/5/2000
Faour	Ramza	20159400	Sahel Alma	26/9/1995
Frem	Maria	20126624	Sahel Alma	9/3/1993
Abi Akl	Alexandro	20124726	Adma	4/11/1967
Youssef	Yara	20154778	Anfeh	30/10/1988
Slaiby	Farah	20184389	Blat	15/1/1950
Al Rassi	Gaelle	20152635	Chekka	31/6/2000
Haroun	Rouba	20187382	Amchit	31/11/1980
Bou-Khalil	Louis	20140999	Anfeh	16/12/1988
Al Hallak	Alexandro	20148747	Awkar	15/9/1956
Assaf	Ahed	20148894	Sahel Alma	22/5/1982
Abi Akl	Layla	20115292	Sahel Alma	16/1/1963
Rizk	Maria	20141197	Amchit	1/1/1986
Abi Akl	Ramza	20171975	Awkar	29/2/1969
Kmeid	Mohamad	20165212	Zouk Mikael	27/3/1954
Abi Younes	Ghady	20131388	Chekka	28/4/1980
Al Hallak	Serena	20142866	Awkar	13/1/1994
Al Rassi	Joe	20116531	Tripoli	28/4/1957
Anastasiou Bountoktzi	Rimane	20121960	Byblos	22/5/1965
Elam	Joe	20150940	Sahel Alma	6/5/1958
Haroun	Yara	20157469	Zouk Mikael	7/10/1998
Rizk	Gaelle	20152012	Selaata	29/9/1986
Abi Younes	Dennis	20120083	Zouk Mosbeh	18/6/1995
Medawar	Youmna	20138444	Amchit	1/3/1998
El Haddad	Nour	20116382	Chekka	4/11/1977
Frem	Yara	20161188	Nahr Ibrahim	19/7/1974
El Mouzawak	Leah	20183592	Anfeh	5/11/1989
Ishak	Lea	20127868	Blat	21/4/1958
Alkadri	Romy	20182211	Blat	10/8/2000
Faour	Sarah	20142184	Dbayeh	28/3/1968
Abi Younes	Ryan	20117522	Nahr Ibrahim	2/4/1948
Bou-Khalil	Mohamad	20162528	Chekka	5/8/1985
Haroun	Christopher	20136604	Adma	9/11/1980
Zarifeh	Frederick	20148963	Blat	10/8/1988
Abi Chahine	Dennis	20142301	Adma	16/3/1982
Alkadri	Christopher	20126550	Awkar	17/3/1955
Charbel	Tonia	20151639	Zouk Mikael	21/6/1988
Ishak	Maria	20141410	Dorms	12/6/1979
Daher	Peter	20146799	Awkar	12/5/2000
Anastasiou Bountoktzi	Tony	20155201	Awkar	1/4/1997
Abi Younes	Youmna	20168525	Chekka	26/8/1986
Charbel	Lamia	20158412	Selaata	9/7/1961
Chayban	Mohamad	20186986	Amchit	30/7/1971
Daher	Tonia	20180466	Sahel Alma	4/9/1990
Issa	Marilyne	20169910	Sahel Alma	9/4/1959
